symbol,status,bars,market_cap,error
BKR,SUCCESS,5027.0,MID,
APA,SUCCESS,5027.0,MID,
HAL,SUCCESS,5027.0,MID,
EMR,SUCCESS,5027.0,MID,
ETN,SUCCESS,5027.0,MID,
PH,SUCCESS,5027.0,MID,
ITW,SUCCESS,5027.0,MID,
CARR,SUCCESS,1441.0,MID,
JCI,SUCCESS,5027.0,MID,
ALB,SUCCESS,5027.0,MID,
ROK,SUCCESS,5027.0,MID,
CE,SUCCESS,5027.0,MID,
PCAR,SUCCESS,5027.0,MID,
CF,SUCCESS,5027.0,MID,
TT,SUCCESS,5027.0,MID,
MRO,FAILED,,MID,No data
MOS,SUCCESS,5027.0,MID,
INVH,SUCCESS,2228.0,MID,
IFF,SUCCESS,5027.0,MID,
EQR,SUCCESS,5027.0,MID,
ARE,SUCCESS,5027.0,MID,
AVB,SUCCESS,5027.0,MID,
VTR,SUCCESS,5027.0,MID,
FMC,SUCCESS,5027.0,MID,
ED,SUCCESS,5027.0,MID,
PINS,SUCCESS,1672.0,MID,
PPL,SUCCESS,5027.0,MID,
EA,SUCCESS,5027.0,MID,
MTCH,SUCCESS,5027.0,MID,
FE,SUCCESS,5027.0,MID,
ETR,SUCCESS,5027.0,MID,
ES,SUCCESS,5027.0,MID,
WBD,SUCCESS,5027.0,MID,
SNAP,SUCCESS,2208.0,MID,
SPOT,SUCCESS,1935.0,MID,
TENB,SUCCESS,1855.0,SMALL,
S,SUCCESS,1118.0,SMALL,
CYBR,SUCCESS,2821.0,SMALL,
GTLB,SUCCESS,1044.0,SMALL,
EWBC,SUCCESS,5027.0,SMALL,
WTFC,SUCCESS,5027.0,SMALL,
SMCI,SUCCESS,4707.0,SMALL,
INCY,SUCCESS,5027.0,SMALL,
CATY,SUCCESS,5027.0,SMALL,
UBSI,SUCCESS,5027.0,SMALL,
GBCI,SUCCESS,5027.0,SMALL,
EXAS,SUCCESS,5027.0,SMALL,
WAL,SUCCESS,5027.0,SMALL,
BURL,SUCCESS,3067.0,SMALL,
TECH,SUCCESS,5027.0,SMALL,
OLLI,SUCCESS,2618.0,SMALL,
BJ,SUCCESS,1874.0,SMALL,
FIVE,SUCCESS,3369.0,SMALL,
IONS,SUCCESS,5027.0,SMALL,
NBIX,SUCCESS,5027.0,SMALL,
BOOT,SUCCESS,2795.0,SMALL,
CENTA,SUCCESS,4743.0,SMALL,
DKS,SUCCESS,5027.0,SMALL,
CTRA,SUCCESS,5027.0,SMALL,
JJSF,SUCCESS,5027.0,SMALL,
MTDR,SUCCESS,3485.0,SMALL,
HAIN,SUCCESS,5027.0,SMALL,
OVV,SUCCESS,5027.0,SMALL,
GNRC,SUCCESS,3983.0,SMALL,
SM,SUCCESS,5027.0,SMALL,
SLVM,SUCCESS,1059.0,SMALL,
AOS,SUCCESS,5027.0,SMALL,
UFPI,SUCCESS,5027.0,SMALL,
MIDD,SUCCESS,5027.0,SMALL,
MP,SUCCESS,1376.0,SMALL,
HCC,SUCCESS,2178.0,SMALL,
CENX,SUCCESS,5027.0,SMALL,
WSO,SUCCESS,5027.0,SMALL,
REXR,SUCCESS,3119.0,SMALL,
CUBE,SUCCESS,5027.0,SMALL,
LBRDK,SUCCESS,2791.0,SMALL,
CABO,SUCCESS,2642.0,SMALL,
NWE,SUCCESS,4517.0,SMALL,
SIRI,SUCCESS,5027.0,SMALL,
MSGM,SUCCESS,1234.0,SMALL,
AVA,SUCCESS,5027.0,SMALL,
MSG,FAILED,,SMALL,No data
